"hub_name","hub_city","hub_state","numero_pedidos","tempo_medio_ciclo_concluidos","tempo_medio_transito_concluidos","taxa_cancelamento_percentual"
GOLDEN SHOPPING,RIO DE JANEIRO,RJ,44868,114.21,69.11,0.00000
SUBWAY SHOPPING,S�O PAULO,SP,23155,73.03,34.35,0.00000
PAGODE SHOPPING,S�O PAULO,SP,22771,222.41,55.3,0.00000
HIP HOP SHOPPING,RIO DE JANEIRO,RJ,21230,96.99,55.65,0.00000
GREEN SHOPPING,PORTO ALEGRE,RS,21139,64.85,32.98,0.00000
COFFEE SHOPPING,S�O PAULO,SP,20528,88.11,44.28,0.00000
PEOPLE SHOPPING,RIO DE JANEIRO,RJ,18915,61.73,32.12,0.00000
RAP SHOPPING,S�O PAULO,SP,18849,60.78,33.87,0.00000
BEACH SHOPPING,RIO DE JANEIRO,RJ,16578,92.81,53.6,0.00000
PURPLE SHOPPING,RIO DE JANEIRO,RJ,15867,119.77,38.75,0.00000
SMALL SHOPPING,S�O PAULO,SP,13674,73.27,26.55,0.00000
AVENUE SHOPPING,S�O PAULO,SP,13544,88.02,30.69,0.00000
BLACK SHOPPING,PORTO ALEGRE,RS,13275,80.9,44.51,0.00000
WOLF SHOPPING,S�O PAULO,SP,12760,149.11,35.9,0.00000
SAMPA SHOPPING,S�O PAULO,SP,10900,156.25,61.44,0.00000
SQL SHOPPING,S�O PAULO,SP,10704,59.33,24.46,0.00000
ELIXIR SHOPPING,S�O PAULO,SP,10249,3036.46,292.75,0.00000
RUBY SHOPPING,RIO DE JANEIRO,RJ,9932,102.59,68.77,0.00000
FORTRAN SHOPPING,CURITIBA,PR,9694,69.03,20.05,0.00000
PYTHON SHOPPING,CURITIBA,PR,7679,75.73,23.3,0.00000
HOTMILK SHOPPING,CURITIBA,PR,7403,47.66,18.59,0.00000
RIVER SHOPPING,S�O PAULO,SP,6751,67.03,33.29,0.00000
STAR SHOPPING,RIO DE JANEIRO,RJ,5361,57.1,27.38,0.00000
COLOR SHOPPING,RIO DE JANEIRO,RJ,4754,80.21,44.27,0.00000
PHP SHOPPING,CURITIBA,PR,4610,43.9,16.63,0.00000
REACT SHOPPING,S�O PAULO,SP,3499,70.17,22.31,0.00000
R SHOPPING,S�O PAULO,SP,200,48.06,24.45,0.00000
FUNK SHOPPING,RIO DE JANEIRO,RJ,89,,,0.00000
BLUE SHOPPING,PORTO ALEGRE,RS,13,,,0.00000
HUBLESS SHOPPING,S�O PAULO,SP,5,9632.5,1437.48,0.00000
RED SHOPPING,PORTO ALEGRE,RS,2,,,0.00000
GAROA SHOPPING,S�O PAULO,SP,1,,,0.00000
