"hub_name","store_segment","numero_pedidos"
AVENUE SHOPPING,FOOD,12183
AVENUE SHOPPING,GOOD,1082
BEACH SHOPPING,FOOD,15651
BEACH SHOPPING,GOOD,352
BLACK SHOPPING,FOOD,11554
BLACK SHOPPING,GOOD,1217
COFFEE SHOPPING,FOOD,17447
COFFEE SHOPPING,GOOD,2594
COLOR SHOPPING,FOOD,4155
COLOR SHOPPING,GOOD,437
ELIXIR SHOPPING,GOOD,7090
FORTRAN SHOPPING,FOOD,7531
FORTRAN SHOPPING,GOOD,1705
GOLDEN SHOPPING,FOOD,41143
GOLDEN SHOPPING,GOOD,1851
GREEN SHOPPING,FOOD,19222
GREEN SHOPPING,GOOD,1058
HIP HOP SHOPPING,FOOD,19616
HIP HOP SHOPPING,GOOD,987
HOTMILK SHOPPING,FOOD,6810
HOTMILK SHOPPING,GOOD,403
HUBLESS SHOPPING,FOOD,2
PAGODE SHOPPING,FOOD,19608
PAGODE SHOPPING,GOOD,2756
PEOPLE SHOPPING,FOOD,17314
PEOPLE SHOPPING,GOOD,1257
PHP SHOPPING,FOOD,4307
PHP SHOPPING,GOOD,134
PURPLE SHOPPING,FOOD,12068
PURPLE SHOPPING,GOOD,2760
PYTHON SHOPPING,FOOD,6484
PYTHON SHOPPING,GOOD,698
R SHOPPING,FOOD,183
RAP SHOPPING,FOOD,17856
RAP SHOPPING,GOOD,421
REACT SHOPPING,FOOD,2339
REACT SHOPPING,GOOD,876
RIVER SHOPPING,FOOD,6279
RIVER SHOPPING,GOOD,157
RUBY SHOPPING,FOOD,8779
RUBY SHOPPING,GOOD,382
SAMPA SHOPPING,FOOD,5978
SAMPA SHOPPING,GOOD,4386
SMALL SHOPPING,FOOD,12621
SMALL SHOPPING,GOOD,613
SQL SHOPPING,FOOD,8387
SQL SHOPPING,GOOD,1845
STAR SHOPPING,FOOD,3331
STAR SHOPPING,GOOD,1534
SUBWAY SHOPPING,FOOD,19861
SUBWAY SHOPPING,GOOD,2669
WOLF SHOPPING,FOOD,10105
WOLF SHOPPING,GOOD,1942
